url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
_5QX_CI2sCk,Ursula Von Der Leyen humiliée vous arrivez à dormir ?,Civicio,homepage,2024-05-11T20:07:32.609Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
LhWa9149Qyc,JUDO - Un combat à sens unique : Comment Teddy Riner a éteint la star locale (Grand Chelem Dushanbe),Eurosport France,homepage,2024-05-11T20:07:32.991Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
6lo-IYTXM_g,"Zakweli : François-Xavier Bellamy, tête de liste LR aux élections européennes",Mayotte la 1ère,homepage,2024-05-11T20:07:33.002Z,0.0,0,19,19,,0,0,0,1,0,1,1,0
XURl86lPaKs,"🌟 Quand un député courageux, digne de ses électeurs, crie la vérité à VON DER LEYEN 💥🗣️",Ensemble pour les libertés -  Martine Wonner off.,homepage,2024-05-11T20:07:33.007Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
GG1L4lhXA3g,Transfert à haut risque pour les crocodiles domestiques dun pavillon d’Étrechy,Le Parisien,homepage,2024-05-11T20:07:33.012Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
utmvKM6O8e4,François-Xavier Bellamy : « Éric Zemmour a le mérite de poser une question fondamentale. »,Public Sénat,homepage,2024-05-11T20:07:33.017Z,0.0,0,19,19,,1,0,0,1,0,1,1,0
Gg4VLpPu5HE,Ils ont découvert que leur diplôme était faux : la colère détudiants dAlbi,TF1 INFO,homepage,2024-05-11T20:07:33.022Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
T8hiDjLgOjY,"Résumé : Après le PSG, le BVB se prend une DÉCULOTTÉE !",beIN SPORTS France,homepage,2024-05-11T20:07:33.028Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
qcZ0sMk7eds,Liste des 30 candidats aux élections européennes du 9 juin 2024,Hoperator,homepage,2024-05-11T20:07:33.034Z,0.0,0,19,19,,0,0,0,0,0,1,1,0
VUpsj6jss2Y,Il y a des vies en jeu.,François-Xavier Bellamy,homepage,2024-05-11T20:07:33.038Z,0.0,0,19,19,,0,0,0,1,0,1,1,0
7rT__xLhI2Q,Un AVOCAT pénaliste DÉMOLIT les clichés des FILMS DE PROCÈS,CANAL+,homepage,2024-05-11T20:07:33.044Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
0UtbwpdXxW4,François Damiens piège ces touristes,Les caméras cachées de François Damiens,homepage,2024-05-11T20:07:33.049Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
_39GhkNaOCU,Gérard Darmon à François-Xavier Bellamy: Vous avez peur de tout ! #ONPC,On n'est pas couché,homepage,2024-05-11T20:07:33.053Z,0.0,0,19,19,,0,0,0,1,0,1,1,0
dYtlrW2O8jU,Débat Bruno Le Maire / Eric Zemmour: Lidentité des peuples européens,Les Éveilleurs,homepage,2024-05-11T20:07:33.059Z,0.0,0,19,19,,1,0,0,1,0,1,1,0
Ib3CX3H1IOk,GRANADA CF 0 - 4 REAL MADRID | HIGHLIGHTS LALIGA EA SPORTS,LALIGA EA SPORTS,homepage,2024-05-11T20:07:33.065Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
RIaeUn_6Nko,Ce pro de la chimie nous donne ses tips pour ne plus rater sa mayonnaise,LeHuffPost,homepage,2024-05-11T20:07:33.070Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
IQIPB1QstJo,"QUE SONT-ILS DEVENUS ? 🌎(Akon, Pitbull, Kat Deluna...)",SEB,homepage,2024-05-11T20:07:33.073Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
f-z9PFfpzeE,Slimane - Mon Amour (LIVE) | France 🇫🇷 | Second Semi-Final | Eurovision 2024,Eurovision Song Contest,homepage,2024-05-11T20:07:33.078Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
ur0UWAVpVbo,Slimane - Mon Amour Live Demi-Finale de lEurovision 2024 !,Slimane,homepage,2024-05-11T20:07:33.081Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
o2KxzHAO9jQ,Je vais porter la Flamme Olympique 🇫🇷🤹‍♀️🥇 - Malik Bentalha,Malik Bentalha,homepage,2024-05-11T20:07:33.087Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
OpcPQyz9kEA,JuL - Nouvel album Mise à jour le 7 juin 🔄🛸,DORETDEPLATINE,homepage,2024-05-11T20:07:33.092Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
2jFRiKEQHQI,J’ai été dépassé en abonnés…,Fuzay²,homepage,2024-05-11T20:07:33.096Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
GXhWNYL7kMI,OFFICIEL : MBAPPE QUITTE LE PSG.,L' immigré parisien,homepage,2024-05-11T20:07:33.100Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
7cmC6VSIbMo,Dati for Paris - Le Moment Meurice,France Inter,homepage,2024-05-11T20:07:33.104Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
xpTdW7_g87A,MITTERRAND 1988 : La réélection de Tonton !,Clément Bernigole,homepage,2024-05-11T20:07:33.108Z,0.0,0,19,19,,0,0,1,0,0,1,0,0
gjx-iHGXk9Q,"A Quiet Place: Day One | Official Trailer 2 (2024 Movie) - Lupita Nyongo, Joseph Quinn",Paramount Pictures,homepage,2024-05-11T20:07:33.112Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
aBrk-TqI3JA,"François-Xavier Bellamy, candidat LR aux élections européennes, au micro de Frédéric Haziza",Radio J,homepage,2024-05-11T20:07:33.116Z,0.0,0,19,19,,0,0,0,1,0,1,1,0
lb3hB1UPMaw,Fuir pour se protéger Jancovici répond à Eichinger,Éthique et tac,homepage,2024-05-11T20:07:33.119Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
b9WvgIBxGYU,⚜️6 Chants Patriotiques et Militaires en Français🇫🇷,BKT,homepage,2024-05-11T20:07:33.123Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
1nV5q5pp_Ok,MOI MOCHE ET MÉCHANT 4 Bande Annonce VF (2024) Nouvelle,FilmsActu,homepage,2024-05-11T20:07:33.127Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
qokPFNfF0ms,La tentative dUrsula von der Leyen de s’emparer de la diplomatie est inacceptable.,Jordan Bardella,homepage,2024-05-11T20:07:33.130Z,0.0,0,19,19,,1,0,0,0,0,1,1,0
imaFtqdc4Xg,Un épidémiologiste analyse des films  | Science vs Fiction,Explore Media,homepage,2024-05-11T20:07:33.134Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
g-AAr5Mqi1s,La drague féministe : prenons des notes ! - Broute - CANAL+,Yes vous aime,homepage,2024-05-11T20:07:33.138Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
ca2nMZGC8Zw,Clément Viktorovitch : Jétais sniper universitaire pour Pascal Praud,Mashup par HugoDécrypte,homepage,2024-05-11T20:07:33.141Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
aDH80Yn9zWc,La sulfateuse en talons aguilles - Le billet de Daniel Morin,France Inter,homepage,2024-05-11T20:07:33.146Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
FlmtZVgEn6M,Naza (ft. Ninho) - Quillé (Clip Officiel),NAZA,homepage,2024-05-11T20:07:33.149Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
wuP0RP0VACw,Camila Cabello - HE KNOWS (ft. Lil Nas X) (Official Visualizer),Camila Cabello,homepage,2024-05-11T20:07:33.153Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
aUjAD7g2JWA,GIMS & DYSTINCT - SPIDER (Official Lyrics Video),GIMS,homepage,2024-05-11T20:07:33.156Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
